ticks,numWhites,numBlacks,numHerbivores,globalTemp,solarLuminosity
1,210,210,40,23.619497636862352,1.0
2,220,392,38,28.919775942288613,1.0
3,274,430,35,29.90921254182915,1.0
4,307,423,35,29.10037669783299,1.0
5,332,402,37,27.558481500671867,1.0
6,351,382,36,25.88446140114449,1.0
7,365,368,37,24.38906776815996,1.0
8,368,364,40,23.490736831544687,1.0
9,371,354,39,22.833625700802628,1.0
10,372,356,38,22.4866985077858,1.0
11,363,372,36,22.803344966520694,1.0
12,363,373,37,22.971220119606752,1.0
13,364,365,38,22.941266831318345,1.0
14,369,353,40,22.62428972713673,1.0
15,376,351,40,22.184369002028326,1.0
16,397,340,43,21.072352501828522,1.0
17,379,335,42,21.143143184628418,1.0
18,361,342,43,21.919960543551017,1.0
19,359,341,45,22.373768249459605,1.0
20,381,336,45,21.728452031996696,1.0
21,385,339,45,21.284547794089217,1.0
22,381,335,48,21.174289880592916,1.0
23,380,330,47,21.1088767803349,1.0
24,363,333,51,21.741909077771354,1.0
25,358,335,49,22.26490644934127,1.0
26,366,305,52,21.940043622905947,1.0
27,367,291,50,21.606409802545482,1.0
28,374,319,50,21.44471843090455,1.0
29,353,329,51,22.246376959011112,1.0
30,336,352,54,23.503983545001066,1.0
31,331,363,56,24.42523537431494,1.0
32,317,346,65,25.248135236917214,1.0
33,306,340,68,26.014503851819143,1.0
34,314,334,72,26.040572816295366,1.0
35,320,305,76,25.551748660197603,1.0
36,321,288,81,25.107478403850205,1.0
37,324,276,84,24.658293765804963,1.0
38,336,270,87,23.92668420347588,1.0
39,318,272,91,24.2545418212411,1.0
40,315,273,93,24.540448979091043,1.0
41,304,268,101,25.04787316533542,1.0
42,295,259,101,25.552897220736856,1.0
43,311,253,101,25.148490104799368,1.0
44,325,240,104,24.297454887328357,1.0
45,310,234,103,24.37675786252535,1.0
46,338,227,103,23.300232581772022,1.0
47,353,220,104,22.1329743491215,1.0
48,356,211,95,21.350951494080356,1.0
49,361,213,94,20.79166653858232,1.0
50,365,211,95,20.343018313064448,1.0
51,384,208,96,19.37800440257429,1.0
52,367,190,107,19.36064589680479,1.0
53,351,195,108,19.999333863839656,1.0
54,331,184,111,20.96311618811144,1.0
55,329,196,109,21.634581385035883,1.0
56,325,213,110,22.282598587045413,1.0
57,318,218,108,22.916695132223467,1.0
58,314,204,107,23.24991837308432,1.0
59,306,200,109,23.678126099303903,1.0
60,312,199,110,23.65782518819755,1.0
61,335,203,107,22.82394650061134,1.0
62,352,202,107,21.760372156689943,1.0
63,345,202,114,21.490913310309715,1.0
64,321,189,120,22.13142028076853,1.0
65,316,190,122,22.64860306513109,1.0
66,327,192,120,22.51406807883737,1.0
67,315,191,125,22.886954362966996,1.0
68,312,179,126,23.071200845657827,1.0
69,302,163,130,23.385248058335517,1.0
70,309,178,131,23.42322219487232,1.0
71,310,164,132,23.271006855997946,1.0
72,328,170,128,22.577652177379434,1.0
73,303,175,134,23.215621333736163,1.0
74,279,161,139,24.300290381844842,1.0
75,283,162,142,24.702274929286048,1.0
76,285,149,151,24.704141244499443,1.0
77,254,132,161,25.70443142646133,1.0
78,281,124,169,25.116323300454756,1.0
79,282,111,170,24.66061875402715,1.0
80,270,95,177,24.729641402311483,1.0
81,258,91,182,25.17565073257456,1.0
82,241,100,184,26.12170578758285,1.0
83,236,97,193,26.75345491934596,1.0
84,241,95,194,26.862848262375753,1.0
85,204,87,208,28.227722122210384,1.0
86,202,87,206,28.98511000229356,1.0
87,207,89,212,29.19553041435766,1.0
88,204,65,212,29.18392087639294,1.0
89,221,63,217,28.521929183563735,1.0
90,217,56,225,28.273971771450896,1.0
91,208,63,223,28.55413580717073,1.0
92,206,60,214,28.74051300404085,1.0
93,203,50,212,28.850608790539006,1.0
94,197,53,217,29.159165305441352,1.0
95,201,45,217,29.08712627281233,1.0
96,185,45,219,29.650714357824587,1.0
97,217,40,220,28.685533579084286,1.0
98,244,33,228,27.124241896445213,1.0
99,226,29,226,26.979946911744108,1.0
100,208,29,227,27.58235797088617,1.0
